aasqa,date_maj,code_no2,code_o3,code_pm10,code_pm25,code_qual,code_so2,code_zone,coul_qual,date_dif,date_ech,epsg_reg,lib_qual,lib_zone,source,type_zone,x_reg,x_wgs84,y_reg,y_wgs84,gml_id2
93,2025/06/27 14:02:46.887+02,1,2,1,2.0,2,1,4070,#50CCAA,2024/12/31,2024-12-30,2154,Moyen,Digne-les-Bains,AtmoSud,commune,957581.023208771,6.2186749381817,6339167.4,44.1038202920296,
93,2025/06/27 14:02:46.887+02,2,2,2,2.0,2,1,5061,#50CCAA,2024/12/31,2024-12-30,2154,Moyen,Gap,AtmoSud,commune,944035.072777778,6.07556284037749,6391384.2,44.5795944309973,
93,2025/06/27 14:02:46.887+02,2,2,2,2.0,2,1,6088,#50CCAA,2024/12/31,2024-12-30,2154,Moyen,Nice,AtmoSud,commune,1042014.82485119,7.24373295571966,6298427.1,43.7031811977172,
93,2025/06/27 14:02:46.887+02,2,2,2,3.0,3,1,13001,#F0E641,2024/12/31,2024-12-30,2154,Dégradé,Aix-en-Provence,AtmoSud,commune,896334.736227266,5.41896053120017,6273570.9,43.5360146116416,
93,2025/06/27 14:02:46.887+02,1,1,2,4.0,4,1,13004,#FF5050,2024/12/31,2024-12-30,2154,Mauvais,Arles,AtmoSud,commune,839237.322120313,4.72248402070484,6273262.85,43.5445210670483,
93,2025/06/27 14:02:46.887+02,2,1,2,4.0,4,1,13055,#FF5050,2024/12/31,2024-12-30,2154,Mauvais,Marseille,AtmoSud,commune,898188.749945418,5.44912085017551,6247018.55,43.2941154162268,
93,2025/06/27 14:02:46.887+02,2,2,2,4.0,4,1,83137,#FF5050,2024/12/31,2024-12-30,2154,Mauvais,Toulon,AtmoSud,commune,938717.917730959,5.93144625106356,6230726.05,43.1363683757015,
93,2025/06/27 14:02:46.887+02,1,1,2,3.0,3,1,84007,#F0E641,2024/12/31,2024-12-30,2154,Dégradé,Avignon,AtmoSud,commune,847537.72139714,4.83675249782855,6317636.5,43.9415966436513,
93,2025/06/27 14:02:46.887+02,1,2,2,2.0,2,1,4070,#50CCAA,2025/01/01,2024-12-31,2154,Moyen,Digne-les-Bains,AtmoSud,commune,957581.023208771,6.2186749381817,6339167.4,44.1038202920296,
93,2025/06/27 14:02:46.887+02,2,2,2,2.0,2,1,5061,#50CCAA,2025/01/01,2024-12-31,2154,Moyen,Gap,AtmoSud,commune,944035.072777778,6.07556284037749,6391384.2,44.5795944309973,
93,2025/06/27 14:02:46.887+02,2,2,2,2.0,3,1,6088,#F0E641,2025/01/01,2024-12-31,2154,Dégradé,Nice,AtmoSud,commune,1042014.82485119,7.24373295571966,6298427.1,43.7031811977172,
93,2025/06/27 14:02:46.887+02,2,2,2,3.0,3,1,13001,#F0E641,2025/01/01,2024-12-31,2154,Dégradé,Aix-en-Provence,AtmoSud,commune,896334.736227266,5.41896053120017,6273570.9,43.5360146116416,
93,2025/06/27 14:02:46.887+02,1,1,4,4.0,4,1,13004,#FF5050,2025/01/01,2024-12-31,2154,Mauvais,Arles,AtmoSud,commune,839237.322120313,4.72248402070484,6273262.85,43.5445210670483,
93,2025/06/27 14:02:46.887+02,2,1,2,4.0,4,1,13055,#FF5050,2025/01/01,2024-12-31,2154,Mauvais,Marseille,AtmoSud,commune,898188.749945418,5.44912085017551,6247018.55,43.2941154162268,
93,2025/06/27 14:02:46.887+02,2,2,2,4.0,4,1,83137,#FF5050,2025/01/01,2024-12-31,2154,Mauvais,Toulon,AtmoSud,commune,938717.917730959,5.93144625106356,6230726.05,43.1363683757015,
93,2025/06/27 14:02:46.887+02,2,1,2,4.0,4,1,84007,#FF5050,2025/01/01,2024-12-31,2154,Mauvais,Avignon,AtmoSud,commune,847537.72139714,4.83675249782855,6317636.5,43.9415966436513,
93,2025/06/27 14:02:46.887+02,1,2,1,1.0,2,1,4070,#50CCAA,2024/06/02,2024-06-01,2154,Moyen,Digne-les-Bains,AtmoSud,commune,957581.023208771,6.2186749381817,6339167.4,44.1038202920296,
93,2025/06/27 14:02:46.887+02,1,2,1,1.0,2,1,5061,#50CCAA,2024/06/02,2024-06-01,2154,Moyen,Gap,AtmoSud,commune,944035.072777778,6.07556284037749,6391384.2,44.5795944309973,
